Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2329	        14	80000080	400013b7	lui	x7,0x40001	  x7=0x40001000
           2689	        32	80000084	10638393	addi	x7,x7,262	  x7:0x40001000  x7=0x40001106
           2709	        33	80000088	30139073	csrrw	x0,misa,x7	  x7:0x40001106  x0=0x00000000
           2769	        36	8000008c	00026697	auipc	x13,0x26	 x13=0x8002608c
           2829	        39	80000090	c5868693	addi	x13,x13,-936	 x13:0x8002608c x13=0x80025ce4
           3029	        49	80000094	00002397	auipc	x7,0x2	  x7=0x80002094
           3049	        50	80000098	46c38393	addi	x7,x7,1132	  x7:0x80002094  x7=0x80002500
           3469	        71	8000009c	0013e393	ori	x7,x7,1	  x7:0x80002500  x7=0x80002501
           3589	        77	800000a0	30539073	csrrw	x0,mtvec,x7	  x7:0x80002501  x0=0x00000000
           3829	        89	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           3889	        92	800000a8	00003097	auipc	x1,0x3	  x1=0x800030a8
           3909	        93	800000ac	1fc08093	addi	x1,x1,508	  x1:0x800030a8  x1=0x800032a4
           3929	        94	800000b0	4381	c.li	x7,0	  x7=0x00000000
           3949	        95	800000b2	909e	c.add	x1,x7	  x1:0x800032a4  x7:0x00000000  x1=0x800032a4
           3969	        96	800000b4	0020d093	srli	x1,x1,0x2	  x1:0x800032a4  x1=0x20000ca9
           3989	        97	800000b8	3b009073	csrrw	x0,pmpaddr0,x1	  x1:0x20000ca9  x0=0x00000000
           4309	       113	800000bc	00003097	auipc	x1,0x3	  x1=0x800030bc
           4409	       118	800000c0	1e808093	addi	x1,x1,488	  x1:0x800030bc  x1=0x800032a4
           4469	       121	800000c4	111113b7	lui	x7,0x11111	  x7=0x11111000
           4589	       127	800000c8	11138393	addi	x7,x7,273	  x7:0x11111000  x7=0x11111111
           4609	       128	800000cc	909e	c.add	x1,x7	  x1:0x800032a4  x7:0x11111111  x1=0x911143b5
           4629	       129	800000ce	0020d093	srli	x1,x1,0x2	  x1:0x911143b5  x1=0x244450ed
           5049	       150	800000d2	3b109073	csrrw	x0,pmpaddr1,x1	  x1:0x244450ed  x0=0x00000000
           5269	       161	800000d6	00003097	auipc	x1,0x3	  x1=0x800030d6
           5509	       173	800000da	1ce08093	addi	x1,x1,462	  x1:0x800030d6  x1=0x800032a4
           5669	       181	800000de	222223b7	lui	x7,0x22222	  x7=0x22222000
           5689	       182	800000e2	22238393	addi	x7,x7,546	  x7:0x22222000  x7=0x22222222
           5709	       183	800000e6	909e	c.add	x1,x7	  x1:0x800032a4  x7:0x22222222  x1=0xa22254c6
           5729	       184	800000e8	0020d093	srli	x1,x1,0x2	  x1:0xa22254c6  x1=0x28889531
           5749	       185	800000ec	3b209073	csrrw	x0,pmpaddr2,x1	  x1:0x28889531  x0=0x00000000
           5909	       193	800000f0	00003097	auipc	x1,0x3	  x1=0x800030f0
           5929	       194	800000f4	1b408093	addi	x1,x1,436	  x1:0x800030f0  x1=0x800032a4
           6349	       215	800000f8	333333b7	lui	x7,0x33333	  x7=0x33333000
           6369	       216	800000fc	33338393	addi	x7,x7,819	  x7:0x33333000  x7=0x33333333
           6789	       237	80000100	909e	c.add	x1,x7	  x1:0x800032a4  x7:0x33333333  x1=0xb33365d7
           6869	       241	80000102	0020d093	srli	x1,x1,0x2	  x1:0xb33365d7  x1=0x2cccd975
           7069	       251	80000106	3b309073	csrrw	x0,pmpaddr3,x1	  x1:0x2cccd975  x0=0x00000000
           7489	       272	8000010a	0f0f10b7	lui	x1,0xf0f1	  x1=0x0f0f1000
           7509	       273	8000010e	f0f08093	addi	x1,x1,-241	  x1:0x0f0f1000  x1=0x0f0f0f0f
           7649	       280	80000112	3a009073	csrrw	x0,pmpcfg0,x1	  x1:0x0f0f0f0f  x0=0x00000000
           7749	       285	80000116	00003097	auipc	x1,0x3	  x1=0x80003116
           7949	       295	8000011a	18e08093	addi	x1,x1,398	  x1:0x80003116  x1=0x800032a4
