Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2207	         8	80000080	40001b37	lui	x22,0x40001	 x22=0x40001000
           2627	        29	80000084	106b0b13	addi	x22,x22,262	 x22:0x40001000 x22=0x40001106
           2647	        30	80000088	301b1073	csrrw	x0,misa,x22	 x22:0x40001106  x0=0x00000000
           2727	        34	8000008c	00026c17	auipc	x24,0x26	 x24=0x8002608c
           2747	        35	80000090	c58c0c13	addi	x24,x24,-936	 x24:0x8002608c x24=0x80025ce4
           2767	        36	80000094	00002b17	auipc	x22,0x2	 x22=0x80002094
           2907	        43	80000098	46cb0b13	addi	x22,x22,1132	 x22:0x80002094 x22=0x80002500
           3047	        50	8000009c	001b6b13	ori	x22,x22,1	 x22:0x80002500 x22=0x80002501
           3307	        63	800000a0	305b1073	csrrw	x0,mtvec,x22	 x22:0x80002501  x0=0x00000000
           3367	        66	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           3427	        69	800000a8	00003517	auipc	x10,0x3	 x10=0x800030a8
           3767	        86	800000ac	1a450513	addi	x10,x10,420	 x10:0x800030a8 x10=0x8000324c
           3787	        87	800000b0	4b01	c.li	x22,0	 x22=0x00000000
           3807	        88	800000b2	955a	c.add	x10,x22	 x10:0x8000324c x22:0x00000000 x10=0x8000324c
           4007	        98	800000b4	8109	c.srli	x10,0x2	 x10:0x8000324c x10=0x20000c93
           4027	        99	800000b6	3b051073	csrrw	x0,pmpaddr0,x10	 x10:0x20000c93  x0=0x00000000
           4447	       120	800000ba	00003517	auipc	x10,0x3	 x10=0x800030ba
           4467	       121	800000be	19250513	addi	x10,x10,402	 x10:0x800030ba x10=0x8000324c
           4487	       122	800000c2	11111b37	lui	x22,0x11111	 x22=0x11111000
           4507	       123	800000c6	111b0b13	addi	x22,x22,273	 x22:0x11111000 x22=0x11111111
           4527	       124	800000ca	955a	c.add	x10,x22	 x10:0x8000324c x22:0x11111111 x10=0x9111435d
           4547	       125	800000cc	8109	c.srli	x10,0x2	 x10:0x9111435d x10=0x244450d7
           4567	       126	800000ce	3b151073	csrrw	x0,pmpaddr1,x10	 x10:0x244450d7  x0=0x00000000
           4927	       144	800000d2	00003517	auipc	x10,0x3	 x10=0x800030d2
           5347	       165	800000d6	17a50513	addi	x10,x10,378	 x10:0x800030d2 x10=0x8000324c
           5367	       166	800000da	22222b37	lui	x22,0x22222	 x22=0x22222000
           5567	       176	800000de	222b0b13	addi	x22,x22,546	 x22:0x22222000 x22=0x22222222
           5587	       177	800000e2	955a	c.add	x10,x22	 x10:0x8000324c x22:0x22222222 x10=0xa222546e
           5607	       178	800000e4	8109	c.srli	x10,0x2	 x10:0xa222546e x10=0x2888951b
           5627	       179	800000e6	3b251073	csrrw	x0,pmpaddr2,x10	 x10:0x2888951b  x0=0x00000000
           5707	       183	800000ea	00003517	auipc	x10,0x3	 x10=0x800030ea
           5847	       190	800000ee	16250513	addi	x10,x10,354	 x10:0x800030ea x10=0x8000324c
           5867	       191	800000f2	33333b37	lui	x22,0x33333	 x22=0x33333000
           6067	       201	800000f6	333b0b13	addi	x22,x22,819	 x22:0x33333000 x22=0x33333333
           6087	       202	800000fa	955a	c.add	x10,x22	 x10:0x8000324c x22:0x33333333 x10=0xb333657f
           6107	       203	800000fc	8109	c.srli	x10,0x2	 x10:0xb333657f x10=0x2cccd95f
           6147	       205	800000fe	3b351073	csrrw	x0,pmpaddr3,x10	 x10:0x2cccd95f  x0=0x00000000
           6207	       208	80000102	0f0f1537	lui	x10,0xf0f1	 x10=0x0f0f1000
           6227	       209	80000106	f0f50513	addi	x10,x10,-241	 x10:0x0f0f1000 x10=0x0f0f0f0f
           6247	       210	8000010a	3a051073	csrrw	x0,pmpcfg0,x10	 x10:0x0f0f0f0f  x0=0x00000000
           6327	       214	8000010e	00003517	auipc	x10,0x3	 x10=0x8000310e
           6467	       221	80000112	13e50513	addi	x10,x10,318	 x10:0x8000310e x10=0x8000324c
           6487	       222	80000116	44444b37	lui	x22,0x44444	 x22=0x44444000
           6507	       223	8000011a	444b0b13	addi	x22,x22,1092	 x22:0x44444000 x22=0x44444444
           6527	       224	8000011e	955a	c.add	x10,x22	 x10:0x8000324c x22:0x44444444 x10=0xc4447690
           6547	       225	80000120	8109	c.srli	x10,0x2	 x10:0xc4447690 x10=0x31111da4
