Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
          19128	       854	80000080	40001137	lui	x2,0x40001	  x2=0x40001000
          19148	       855	80000084	10610113	addi	x2,x2,262	  x2:0x40001000  x2=0x40001106
          19228	       859	80000088	30111073	csrrw	x0,misa,x2	  x2:0x40001106  x0=0x00000000
          19528	       874	8000008c	00026617	auipc	x12,0x26	 x12=0x8002608c
          19548	       875	80000090	c5860613	addi	x12,x12,-936	 x12:0x8002608c x12=0x80025ce4
          19968	       896	80000094	00002117	auipc	x2,0x2	  x2=0x80002094
          19988	       897	80000098	66c10113	addi	x2,x2,1644	  x2:0x80002094  x2=0x80002700
          20008	       898	8000009c	00116113	ori	x2,x2,1	  x2:0x80002700  x2=0x80002701
          20068	       901	800000a0	30511073	csrrw	x0,mtvec,x2	  x2:0x80002701  x0=0x00000000
          20268	       911	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
          20688	       932	800000a8	00003517	auipc	x10,0x3	 x10=0x800030a8
          20708	       933	800000ac	3fc50513	addi	x10,x10,1020	 x10:0x800030a8 x10=0x800034a4
          21128	       954	800000b0	4101	c.li	x2,0	  x2=0x00000000
          21148	       955	800000b2	950a	c.add	x10,x2	 x10:0x800034a4  x2:0x80002701 x10=0x00005ba5
