Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2406	        18	80000080	40001337	lui	x6,0x40001	  x6=0x40001000
           2426	        19	80000084	10630313	addi	x6,x6,262	  x6:0x40001000  x6=0x40001106
           2846	        40	80000088	30131073	csrrw	x0,misa,x6	  x6:0x40001106  x0=0x00000000
           2906	        43	8000008c	00026c97	auipc	x25,0x26	 x25=0x8002608c
           2926	        44	80000090	c58c8c93	addi	x25,x25,-936	 x25:0x8002608c x25=0x80025ce4
           2946	        45	80000094	00002317	auipc	x6,0x2	  x6=0x80002094
           3026	        49	80000098	26c30313	addi	x6,x6,620	  x6:0x80002094  x6=0x80002300
           3046	        50	8000009c	00136313	ori	x6,x6,1	  x6:0x80002300  x6=0x80002301
           3466	        71	800000a0	30531073	csrrw	x0,mtvec,x6	  x6:0x80002301  x0=0x00000000
           3886	        92	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           3966	        96	800000a8	00003b17	auipc	x22,0x3	 x22=0x800030a8
           3986	        97	800000ac	f98b0b13	addi	x22,x22,-104	 x22:0x800030a8 x22=0x80003040
           4006	        98	800000b0	4301	c.li	x6,0	  x6=0x00000000
           4026	        99	800000b2	9b1a	c.add	x22,x6	 x22:0x80003040  x6:0x00000000 x22=0x80003040
           4046	       100	800000b4	002b5b13	srli	x22,x22,0x2	 x22:0x80003040 x22=0x20000c10
           4066	       101	800000b8	3b0b1073	csrrw	x0,pmpaddr0,x22	 x22:0x20000c10  x0=0x00000000
           4466	       121	800000bc	00003b17	auipc	x22,0x3	 x22=0x800030bc
           4886	       142	800000c0	f84b0b13	addi	x22,x22,-124	 x22:0x800030bc x22=0x80003040
           4906	       143	800000c4	11111337	lui	x6,0x11111	  x6=0x11111000
           4966	       146	800000c8	11130313	addi	x6,x6,273	  x6:0x11111000  x6=0x11111111
           5086	       152	800000cc	9b1a	c.add	x22,x6	 x22:0x80003040  x6:0x11111111 x22=0x91114151
           5246	       160	800000ce	002b5b13	srli	x22,x22,0x2	 x22:0x91114151 x22=0x24445054
           5266	       161	800000d2	3b1b1073	csrrw	x0,pmpaddr1,x22	 x22:0x24445054  x0=0x00000000
           5326	       164	800000d6	00003b17	auipc	x22,0x3	 x22=0x800030d6
           5706	       183	800000da	f6ab0b13	addi	x22,x22,-150	 x22:0x800030d6 x22=0x80003040
           6126	       204	800000de	22222337	lui	x6,0x22222	  x6=0x22222000
           6486	       222	800000e2	22230313	addi	x6,x6,546	  x6:0x22222000  x6=0x22222222
           6506	       223	800000e6	9b1a	c.add	x22,x6	 x22:0x80003040  x6:0x22222222 x22=0xa2225262
           6526	       224	800000e8	002b5b13	srli	x22,x22,0x2	 x22:0xa2225262 x22=0x28889498
           6926	       244	800000ec	3b2b1073	csrrw	x0,pmpaddr2,x22	 x22:0x28889498  x0=0x00000000
           6986	       247	800000f0	00003b17	auipc	x22,0x3	 x22=0x800030f0
           7006	       248	800000f4	f50b0b13	addi	x22,x22,-176	 x22:0x800030f0 x22=0x80003040
           7026	       249	800000f8	33333337	lui	x6,0x33333	  x6=0x33333000
           7106	       253	800000fc	33330313	addi	x6,x6,819	  x6:0x33333000  x6=0x33333333
           7526	       274	80000100	9b1a	c.add	x22,x6	 x22:0x80003040  x6:0x33333333 x22=0xb3336373
           7586	       277	80000102	002b5b13	srli	x22,x22,0x2	 x22:0xb3336373 x22=0x2cccd8dc
           7646	       280	80000106	3b3b1073	csrrw	x0,pmpaddr3,x22	 x22:0x2cccd8dc  x0=0x00000000
           7706	       283	8000010a	0f0f1b37	lui	x22,0xf0f1	 x22=0x0f0f1000
           7766	       286	8000010e	f0fb0b13	addi	x22,x22,-241	 x22:0x0f0f1000 x22=0x0f0f0f0f
           7806	       288	80000112	3a0b1073	csrrw	x0,pmpcfg0,x22	 x22:0x0f0f0f0f  x0=0x00000000
           7866	       291	80000116	00003b17	auipc	x22,0x3	 x22=0x80003116
           7886	       292	8000011a	f2ab0b13	addi	x22,x22,-214	 x22:0x80003116 x22=0x80003040
           8046	       300	8000011e	44444337	lui	x6,0x44444	  x6=0x44444000
           8366	       316	80000122	44430313	addi	x6,x6,1092	  x6:0x44444000  x6=0x44444444
           8386	       317	80000126	9b1a	c.add	x22,x6	 x22:0x80003040  x6:0x44444444 x22=0xc4447484
           8406	       318	80000128	002b5b13	srli	x22,x22,0x2	 x22:0xc4447484 x22=0x31111d21
           8426	       319	8000012c	3b4b1073	csrrw	x0,pmpaddr4,x22	 x22:0x31111d21  x0=0x00000000
           8486	       322	80000130	00003b17	auipc	x22,0x3	 x22=0x80003130
           8506	       323	80000134	f10b0b13	addi	x22,x22,-240	 x22:0x80003130 x22=0x80003040
           8826	       339	80000138	55555337	lui	x6,0x55555	  x6=0x55555000
           8926	       344	8000013c	55530313	addi	x6,x6,1365	  x6:0x55555000  x6=0x55555555
           9106	       353	80000140	9b1a	c.add	x22,x6	 x22:0x80003040  x6:0x55555555 x22=0xd5558595
           9266	       361	80000142	002b5b13	srli	x22,x22,0x2	 x22:0xd5558595 x22=0x35556165
           9426	       369	80000146	3b5b1073	csrrw	x0,pmpaddr5,x22	 x22:0x35556165  x0=0x00000000
           9486	       372	8000014a	00003b17	auipc	x22,0x3	 x22=0x8000314a
           9506	       373	8000014e	ef6b0b13	addi	x22,x22,-266	 x22:0x8000314a x22=0x80003040
           9526	       374	80000152	66666337	lui	x6,0x66666	  x6=0x66666000
           9586	       377	80000156	66630313	addi	x6,x6,1638	  x6:0x66666000  x6=0x66666666
           9606	       378	8000015a	9b1a	c.add	x22,x6	 x22:0x80003040  x6:0x66666666 x22=0xe66696a6
           9626	       379	8000015c	002b5b13	srli	x22,x22,0x2	 x22:0xe66696a6 x22=0x3999a5a9
           9786	       387	80000160	3b6b1073	csrrw	x0,pmpaddr6,x22	 x22:0x3999a5a9  x0=0x00000000
           9846	       390	80000164	00003b17	auipc	x22,0x3	 x22=0x80003164
