Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2335	        15	80000080	40001c37	lui	x24,0x40001	 x24=0x40001000
           2355	        16	80000084	106c0c13	addi	x24,x24,262	 x24:0x40001000 x24=0x40001106
           2375	        17	80000088	301c1073	csrrw	x0,misa,x24	 x24:0x40001106  x0=0x00000000
           2695	        33	8000008c	00026f97	auipc	x31,0x26	 x31=0x8002608c
           3095	        53	80000090	c58f8f93	addi	x31,x31,-936	 x31:0x8002608c x31=0x80025ce4
           3515	        74	80000094	00002c17	auipc	x24,0x2	 x24=0x80002094
           3535	        75	80000098	66cc0c13	addi	x24,x24,1644	 x24:0x80002094 x24=0x80002700
           3755	        86	8000009c	001c6c13	ori	x24,x24,1	 x24:0x80002700 x24=0x80002701
           3895	        93	800000a0	305c1073	csrrw	x0,mtvec,x24	 x24:0x80002701  x0=0x00000000
           3955	        96	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           4015	        99	800000a8	00003997	auipc	x19,0x3	 x19=0x800030a8
           4035	       100	800000ac	44498993	addi	x19,x19,1092	 x19:0x800030a8 x19=0x800034ec
           4055	       101	800000b0	4c01	c.li	x24,0	 x24=0x00000000
           4075	       102	800000b2	99e2	c.add	x19,x24	 x19:0x800034ec x24:0x00000000 x19=0x800034ec
           4095	       103	800000b4	0029d993	srli	x19,x19,0x2	 x19:0x800034ec x19=0x20000d3b
           4115	       104	800000b8	3b099073	csrrw	x0,pmpaddr0,x19	 x19:0x20000d3b  x0=0x00000000
           4175	       107	800000bc	00003997	auipc	x19,0x3	 x19=0x800030bc
           4195	       108	800000c0	43098993	addi	x19,x19,1072	 x19:0x800030bc x19=0x800034ec
           4375	       117	800000c4	11111c37	lui	x24,0x11111	 x24=0x11111000
           4575	       127	800000c8	111c0c13	addi	x24,x24,273	 x24:0x11111000 x24=0x11111111
           4595	       128	800000cc	99e2	c.add	x19,x24	 x19:0x800034ec x24:0x11111111 x19=0x911145fd
           4615	       129	800000ce	0029d993	srli	x19,x19,0x2	 x19:0x911145fd x19=0x2444517f
           4635	       130	800000d2	3b199073	csrrw	x0,pmpaddr1,x19	 x19:0x2444517f  x0=0x00000000
           4835	       140	800000d6	00003997	auipc	x19,0x3	 x19=0x800030d6
           4895	       143	800000da	41698993	addi	x19,x19,1046	 x19:0x800030d6 x19=0x800034ec
           5315	       164	800000de	22222c37	lui	x24,0x22222	 x24=0x22222000
           5735	       185	800000e2	222c0c13	addi	x24,x24,546	 x24:0x22222000 x24=0x22222222
           5755	       186	800000e6	99e2	c.add	x19,x24	 x19:0x800034ec x24:0x22222222 x19=0xa222570e
           5815	       189	800000e8	0029d993	srli	x19,x19,0x2	 x19:0xa222570e x19=0x288895c3
           5995	       198	800000ec	3b299073	csrrw	x0,pmpaddr2,x19	 x19:0x288895c3  x0=0x00000000
           6055	       201	800000f0	00003997	auipc	x19,0x3	 x19=0x800030f0
           6075	       202	800000f4	3fc98993	addi	x19,x19,1020	 x19:0x800030f0 x19=0x800034ec
           6095	       203	800000f8	33333c37	lui	x24,0x33333	 x24=0x33333000
           6415	       219	800000fc	333c0c13	addi	x24,x24,819	 x24:0x33333000 x24=0x33333333
           6435	       220	80000100	99e2	c.add	x19,x24	 x19:0x800034ec x24:0x33333333 x19=0xb333681f
           6475	       222	80000102	0029d993	srli	x19,x19,0x2	 x19:0xb333681f x19=0x2cccda07
           6495	       223	80000106	3b399073	csrrw	x0,pmpaddr3,x19	 x19:0x2cccda07  x0=0x00000000
           6555	       226	8000010a	0f0f19b7	lui	x19,0xf0f1	 x19=0x0f0f1000
           6915	       244	8000010e	f0f98993	addi	x19,x19,-241	 x19:0x0f0f1000 x19=0x0f0f0f0f
           7195	       258	80000112	3a099073	csrrw	x0,pmpcfg0,x19	 x19:0x0f0f0f0f  x0=0x00000000
           7255	       261	80000116	00003997	auipc	x19,0x3	 x19=0x80003116
           7635	       280	8000011a	3d698993	addi	x19,x19,982	 x19:0x80003116 x19=0x800034ec
           8055	       301	8000011e	44444c37	lui	x24,0x44444	 x24=0x44444000
           8075	       302	80000122	444c0c13	addi	x24,x24,1092	 x24:0x44444000 x24=0x44444444
           8095	       303	80000126	99e2	c.add	x19,x24	 x19:0x800034ec x24:0x44444444 x19=0xc4447930
