Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2197	         8	80000080	400014b7	lui	x9,0x40001	  x9=0x40001000
           2617	        29	80000084	10648493	addi	x9,x9,262	  x9:0x40001000  x9=0x40001106
           3037	        50	80000088	30149073	csrrw	x0,misa,x9	  x9:0x40001106  x0=0x00000000
           3097	        53	8000008c	00026897	auipc	x17,0x26	 x17=0x8002608c
           3117	        54	80000090	c5888893	addi	x17,x17,-936	 x17:0x8002608c x17=0x80025ce4
           3137	        55	80000094	00002497	auipc	x9,0x2	  x9=0x80002094
           3157	        56	80000098	66c48493	addi	x9,x9,1644	  x9:0x80002094  x9=0x80002700
           3257	        61	8000009c	0014e493	ori	x9,x9,1	  x9:0x80002700  x9=0x80002701
           3277	        62	800000a0	30549073	csrrw	x0,mtvec,x9	  x9:0x80002701  x0=0x00000000
           3817	        89	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           4037	       100	800000a8	00003397	auipc	x7,0x3	  x7=0x800030a8
           4057	       101	800000ac	40038393	addi	x7,x7,1024	  x7:0x800030a8  x7=0x800034a8
           4077	       102	800000b0	4481	c.li	x9,0	  x9=0x00000000
           4097	       103	800000b2	93a6	c.add	x7,x9	  x7:0x800034a8  x9:0x00000000  x7=0x800034a8
           4237	       110	800000b4	0023d393	srli	x7,x7,0x2	  x7:0x800034a8  x7=0x20000d2a
           4457	       121	800000b8	3b039073	csrrw	x0,pmpaddr0,x7	  x7:0x20000d2a  x0=0x00000000
           4757	       136	800000bc	00003397	auipc	x7,0x3	  x7=0x800030bc
           4777	       137	800000c0	3ec38393	addi	x7,x7,1004	  x7:0x800030bc  x7=0x800034a8
           4997	       148	800000c4	111114b7	lui	x9,0x11111	  x9=0x11111000
           5097	       153	800000c8	11148493	addi	x9,x9,273	  x9:0x11111000  x9=0x11111111
           5117	       154	800000cc	93a6	c.add	x7,x9	  x7:0x800034a8  x9:0x11111111  x7=0x911145b9
           5157	       156	800000ce	0023d393	srli	x7,x7,0x2	  x7:0x911145b9  x7=0x2444516e
           5177	       157	800000d2	3b139073	csrrw	x0,pmpaddr1,x7	  x7:0x2444516e  x0=0x00000000
           5597	       178	800000d6	00003397	auipc	x7,0x3	  x7=0x800030d6
           5617	       179	800000da	3d238393	addi	x7,x7,978	  x7:0x800030d6  x7=0x800034a8
           6037	       200	800000de	222224b7	lui	x9,0x22222	  x9=0x22222000
           6057	       201	800000e2	22248493	addi	x9,x9,546	  x9:0x22222000  x9=0x22222222
           6077	       202	800000e6	93a6	c.add	x7,x9	  x7:0x800034a8  x9:0x22222222  x7=0xa22256ca
           6097	       203	800000e8	0023d393	srli	x7,x7,0x2	  x7:0xa22256ca  x7=0x288895b2
           6117	       204	800000ec	3b239073	csrrw	x0,pmpaddr2,x7	  x7:0x288895b2  x0=0x00000000
           6197	       208	800000f0	00003397	auipc	x7,0x3	  x7=0x800030f0
           6617	       229	800000f4	3b838393	addi	x7,x7,952	  x7:0x800030f0  x7=0x800034a8
           6917	       244	800000f8	333334b7	lui	x9,0x33333	  x9=0x33333000
           7057	       251	800000fc	33348493	addi	x9,x9,819	  x9:0x33333000  x9=0x33333333
           7077	       252	80000100	93a6	c.add	x7,x9	  x7:0x800034a8  x9:0x33333333  x7=0xb33367db
