Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2427	        19	80000080	400016b7	lui	x13,0x40001	 x13=0x40001000
           2447	        20	80000084	10668693	addi	x13,x13,262	 x13:0x40001000 x13=0x40001106
           2467	        21	80000088	30169073	csrrw	x0,misa,x13	 x13:0x40001106  x0=0x00000000
           2687	        32	8000008c	00026d97	auipc	x27,0x26	 x27=0x8002608c
           2707	        33	80000090	c58d8d93	addi	x27,x27,-936	 x27:0x8002608c x27=0x80025ce4
           2807	        38	80000094	00002697	auipc	x13,0x2	 x13=0x80002094
           2967	        46	80000098	66c68693	addi	x13,x13,1644	 x13:0x80002094 x13=0x80002700
           2987	        47	8000009c	0016e693	ori	x13,x13,1	 x13:0x80002700 x13=0x80002701
           3007	        48	800000a0	30569073	csrrw	x0,mtvec,x13	 x13:0x80002701  x0=0x00000000
           3067	        51	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           3127	        54	800000a8	00003997	auipc	x19,0x3	 x19=0x800030a8
           3147	        55	800000ac	40098993	addi	x19,x19,1024	 x19:0x800030a8 x19=0x800034a8
           3307	        63	800000b0	4681	c.li	x13,0	 x13=0x00000000
           3327	        64	800000b2	99b6	c.add	x19,x13	 x19:0x800034a8 x13:0x00000000 x19=0x800034a8
           3527	        74	800000b4	0029d993	srli	x19,x19,0x2	 x19:0x800034a8 x19=0x20000d2a
           3547	        75	800000b8	3b099073	csrrw	x0,pmpaddr0,x19	 x19:0x20000d2a  x0=0x00000000
           3967	        96	800000bc	00003997	auipc	x19,0x3	 x19=0x800030bc
           4067	       101	800000c0	3ec98993	addi	x19,x19,1004	 x19:0x800030bc x19=0x800034a8
           4127	       104	800000c4	111116b7	lui	x13,0x11111	 x13=0x11111000
           4207	       108	800000c8	11168693	addi	x13,x13,273	 x13:0x11111000 x13=0x11111111
           4627	       129	800000cc	99b6	c.add	x19,x13	 x19:0x800034a8 x13:0x11111111 x19=0x911145b9
           4647	       130	800000ce	0029d993	srli	x19,x19,0x2	 x19:0x911145b9 x19=0x2444516e
           4667	       131	800000d2	3b199073	csrrw	x0,pmpaddr1,x19	 x19:0x2444516e  x0=0x00000000
           4727	       134	800000d6	00003997	auipc	x19,0x3	 x19=0x800030d6
           5027	       149	800000da	3d298993	addi	x19,x19,978	 x19:0x800030d6 x19=0x800034a8
           5187	       157	800000de	222226b7	lui	x13,0x22222	 x13=0x22222000
           5207	       158	800000e2	22268693	addi	x13,x13,546	 x13:0x22222000 x13=0x22222222
           5227	       159	800000e6	99b6	c.add	x19,x13	 x19:0x800034a8 x13:0x22222222 x19=0xa22256ca
