Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           2597	        28	80000080	40001d37	lui	x26,0x40001	 x26=0x40001000
           2617	        29	80000084	106d0d13	addi	x26,x26,262	 x26:0x40001000 x26=0x40001106
           2737	        35	80000088	301d1073	csrrw	x0,misa,x26	 x26:0x40001106  x0=0x00000000
           3057	        51	8000008c	00026f97	auipc	x31,0x26	 x31=0x8002608c
           3157	        56	80000090	c58f8f93	addi	x31,x31,-936	 x31:0x8002608c x31=0x80025ce4
           3577	        77	80000094	00002d17	auipc	x26,0x2	 x26=0x80002094
           3717	        84	80000098	66cd0d13	addi	x26,x26,1644	 x26:0x80002094 x26=0x80002700
           3837	        90	8000009c	001d6d13	ori	x26,x26,1	 x26:0x80002700 x26=0x80002701
           3877	        92	800000a0	305d1073	csrrw	x0,mtvec,x26	 x26:0x80002701  x0=0x00000000
           3937	        95	800000a4	74725073	csrrwi	x0,0x747,4	  x0=0x00000000
           4317	       114	800000a8	00003517	auipc	x10,0x3	 x10=0x800030a8
           4337	       115	800000ac	41450513	addi	x10,x10,1044	 x10:0x800030a8 x10=0x800034bc
           4357	       116	800000b0	4d01	c.li	x26,0	 x26=0x00000000
           4377	       117	800000b2	956a	c.add	x10,x26	 x10:0x800034bc x26:0x00000000 x10=0x800034bc
           4397	       118	800000b4	8109	c.srli	x10,0x2	 x10:0x800034bc x10=0x20000d2f
           4417	       119	800000b6	3b051073	csrrw	x0,pmpaddr0,x10	 x10:0x20000d2f  x0=0x00000000
           4577	       127	800000ba	00003517	auipc	x10,0x3	 x10=0x800030ba
           4997	       148	800000be	40250513	addi	x10,x10,1026	 x10:0x800030ba x10=0x800034bc
           5037	       150	800000c2	11111d37	lui	x26,0x11111	 x26=0x11111000
           5057	       151	800000c6	111d0d13	addi	x26,x26,273	 x26:0x11111000 x26=0x11111111
           5077	       152	800000ca	956a	c.add	x10,x26	 x10:0x800034bc x26:0x11111111 x10=0x911145cd
           5217	       159	800000cc	8109	c.srli	x10,0x2	 x10:0x911145cd x10=0x24445173
           5517	       174	800000ce	3b151073	csrrw	x0,pmpaddr1,x10	 x10:0x24445173  x0=0x00000000
           5697	       183	800000d2	00003517	auipc	x10,0x3	 x10=0x800030d2
           5717	       184	800000d6	3ea50513	addi	x10,x10,1002	 x10:0x800030d2 x10=0x800034bc
           5737	       185	800000da	22222d37	lui	x26,0x22222	 x26=0x22222000
           6157	       206	800000de	222d0d13	addi	x26,x26,546	 x26:0x22222000 x26=0x22222222
           6177	       207	800000e2	956a	c.add	x10,x26	 x10:0x800034bc x26:0x22222222 x10=0xa22256de
           6197	       208	800000e4	8109	c.srli	x10,0x2	 x10:0xa22256de x10=0x288895b7
           6357	       216	800000e6	3b251073	csrrw	x0,pmpaddr2,x10	 x10:0x288895b7  x0=0x00000000
           6437	       220	800000ea	00003517	auipc	x10,0x3	 x10=0x800030ea
           6457	       221	800000ee	3d250513	addi	x10,x10,978	 x10:0x800030ea x10=0x800034bc
           6477	       222	800000f2	33333d37	lui	x26,0x33333	 x26=0x33333000
           6677	       232	800000f6	333d0d13	addi	x26,x26,819	 x26:0x33333000 x26=0x33333333
           6697	       233	800000fa	956a	c.add	x10,x26	 x10:0x800034bc x26:0x33333333 x10=0xb33367ef
           7097	       253	800000fc	8109	c.srli	x10,0x2	 x10:0xb33367ef x10=0x2cccd9fb
           7297	       263	800000fe	3b351073	csrrw	x0,pmpaddr3,x10	 x10:0x2cccd9fb  x0=0x00000000
           7437	       270	80000102	0f0f1537	lui	x10,0xf0f1	 x10=0x0f0f1000
           7457	       271	80000106	f0f50513	addi	x10,x10,-241	 x10:0x0f0f1000 x10=0x0f0f0f0f
           7477	       272	8000010a	3a051073	csrrw	x0,pmpcfg0,x10	 x10:0x0f0f0f0f  x0=0x00000000
           7897	       293	8000010e	00003517	auipc	x10,0x3	 x10=0x8000310e
           7917	       294	80000112	3ae50513	addi	x10,x10,942	 x10:0x8000310e x10=0x800034bc
           7937	       295	80000116	44444d37	lui	x26,0x44444	 x26=0x44444000
           7957	       296	8000011a	444d0d13	addi	x26,x26,1092	 x26:0x44444000 x26=0x44444444
           7977	       297	8000011e	956a	c.add	x10,x26	 x10:0x800034bc x26:0x44444444 x10=0xc4447900
           8117	       304	80000120	8109	c.srli	x10,0x2	 x10:0xc4447900 x10=0x31111e40
           8437	       320	80000122	3b451073	csrrw	x0,pmpaddr4,x10	 x10:0x31111e40  x0=0x00000000
           8737	       335	80000126	00003517	auipc	x10,0x3	 x10=0x80003126
           8757	       336	8000012a	39650513	addi	x10,x10,918	 x10:0x80003126 x10=0x800034bc
           9037	       350	8000012e	55555d37	lui	x26,0x55555	 x26=0x55555000
           9057	       351	80000132	555d0d13	addi	x26,x26,1365	 x26:0x55555000 x26=0x55555555
           9077	       352	80000136	956a	c.add	x10,x26	 x10:0x800034bc x26:0x55555555 x10=0xd5558a11
           9137	       355	80000138	8109	c.srli	x10,0x2	 x10:0xd5558a11 x10=0x35556284
           9217	       359	8000013a	3b551073	csrrw	x0,pmpaddr5,x10	 x10:0x35556284  x0=0x00000000
           9277	       362	8000013e	00003517	auipc	x10,0x3	 x10=0x8000313e
           9297	       363	80000142	37e50513	addi	x10,x10,894	 x10:0x8000313e x10=0x800034bc
           9317	       364	80000146	66666d37	lui	x26,0x66666	 x26=0x66666000
           9357	       366	8000014a	666d0d13	addi	x26,x26,1638	 x26:0x66666000 x26=0x66666666
           9377	       367	8000014e	956a	c.add	x10,x26	 x10:0x800034bc x26:0x66666666 x10=0xe6669b22
